championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
LLA/2019_Season/Opening_Season;Movistar R7;Grell;21;15;6;71.4%;2.24;2.43;7.05;3.82;172.62;5.1;11.3;335;-;-;75.9%;18.3%;17.8%;10;['Lee Sin', 'Jarvan IV', 'Olaf']
LLA/2019_Season/Opening_Season;Movistar R7;Leza;21;15;6;71.4%;3.43;1.71;4.33;4.53;317.24;9.37;14.2;420;-;-;63.4%;28%;22.4%;16;['Vladimir', 'Zoe', 'Irelia']
LLA/2019_Season/Opening_Season;Movistar R7;Nobody;19;13;6;68.4%;4.21;1.53;3.95;5.34;335.37;9.94;15.3;453;-;-;67.7%;34.9%;24.3%;11;['Ezreal', 'Lucian', 'Vayne']
LLA/2019_Season/Opening_Season;Movistar R7;Limitationss;2;2;0;100%;4;0.5;6.5;21;346.5;9.94;15.9;456;-;-;75%;28.6%;22.7%;2;['Ezreal', 'Sivir']
LLA/2019_Season/Opening_Season;XTEN Esports;Itsi;21;5;16;23.8%;1.1;3.76;4.71;1.54;165.19;4.67;10.4;294;-;-;70.1%;13.2%;17.8%;9;"['Sejuani', 'Jarvan IV', ""Rek'Sai""]"
LLA/2019_Season/Opening_Season;XTEN Esports;Kindless;21;5;16;23.8%;2.24;2.52;3.62;2.32;327.9;9.27;14.3;404;-;-;70.7%;27%;24.4%;9;['Ezreal', 'Lucian', 'Caitlyn']
LLA/2019_Season/Opening_Season;XTEN Esports;Straight;21;5;16;23.8%;1.81;2;2.48;2.14;281.1;7.95;12.7;359;-;-;51.7%;21.8%;21.6%;11;['Urgot', 'Aatrox', 'Sion']
LLA/2019_Season/Opening_Season;XTEN Esports;Xuradel;21;5;16;23.8%;2.33;2.71;3.71;2.23;277.43;7.84;12.6;357;-;-;73%;28.2%;21.5%;12;['Lissandra', 'Corki', 'Zoe']
LLA/2019_Season/Opening_Season;XTEN Esports;DCStar;17;5;12;29.4%;0.82;4.35;5.53;1.46;60;1.68;8.7;245;-;-;72%;9.3%;14.6%;6;['Alistar', 'Braum', 'Tahm Kench']
LLA/2019_Season/Opening_Season;XTEN Esports;Minibestia;4;0;4;0%;0.75;4.25;3;0.88;33;0.96;8.1;237;-;-;62.5%;12.5%;15.1%;4;['Alistar', 'Thresh', 'Braum']
LLA/2020_Season/Opening_Season;All Knights;Alive;18;14;4;77.8%;5.5;2.39;5.5;4.6;357.39;9.73;16.9;460;-;-;76.7%;38.4%;25.6%;7;['Miss Fortune', 'Xayah', 'Aphelios']
LLA/2020_Season/Opening_Season;All Knights;Jisu;18;14;4;77.8%;3.22;2.78;4.72;2.86;298.83;8.13;14.6;398;-;-;55.4%;22.5%;22.1%;8;['Gangplank', 'Aatrox', 'Sett']
LLA/2020_Season/Opening_Season;All Knights;Newbie;18;14;4;77.8%;0.72;1.5;10.39;7.41;44.67;1.22;8.9;241;-;-;77.5%;5%;13.4%;9;['Braum', 'Yuumi', 'Rakan']
LLA/2020_Season/Opening_Season;All Knights;Pancake;18;14;4;77.8%;1.78;2.33;8.22;4.29;196.83;5.36;11.7;320;-;-;69.8%;12.4%;17.8%;6;['Jarvan IV', 'Trundle', 'Gragas']
LLA/2020_Season/Opening_Season;All Knights;Plugo;18;14;4;77.8%;3.11;1.78;6.17;5.22;299.5;8.15;14;380;-;-;64.7%;21.7%;21.1%;7;"['Azir', 'Syndra', ""Vel'Koz""]"
LLA/2020_Season/Opening_Season;Azules Esports;cody;14;2;12;14.3%;2.64;3;3.43;2.02;324.14;8.53;14.4;379;-;-;63.4%;27.6%;22.6%;7;['Zoe', 'Azir', 'Cassiopeia']
LLA/2020_Season/Opening_Season;Azules Esports;Feitan;14;2;12;14.3%;0.93;4.43;5.21;1.39;55.79;1.47;8.8;232;-;-;64.2%;9.7%;13.9%;8;['Thresh', 'Leona', 'Sett']
LLA/2020_Season/Opening_Season;Azules Esports;IceBox;14;2;12;14.3%;1.21;3.71;3;1.13;307.64;8.1;14.2;373;-;-;44%;12.7%;22.3%;7;['Sett', 'Fiora', 'Vladimir']
LLA/2020_Season/Opening_Season;Azules Esports;koughi;14;2;12;14.3%;2.21;3.14;4.29;2.07;182.57;4.8;11.2;296;-;-;67.9%;23.1%;17.7%;7;['Jarvan IV', 'Elise', 'Sejuani']
LLA/2020_Season/Opening_Season;Azules Esports;KRESHTDOO;14;2;12;14.3%;2.57;2.64;4;2.49;325;8.55;15;394;-;-;68.7%;26.9%;23.6%;8;['Varus', 'Miss Fortune', 'Ashe']
LLA/2020_Season/Opening_Season;Furious Gaming;Baula;14;2;12;14.3%;0.43;2.64;6.21;2.51;51.57;1.35;8.3;217;-;-;75%;4.8%;13.4%;8;['Nautilus', 'Tahm Kench', 'Thresh']
LLA/2020_Season/Opening_Season;Furious Gaming;Emp;14;2;12;14.3%;2.57;2.21;3.64;2.81;320.29;8.37;14.1;370;-;-;70.2%;29%;22.9%;7;['Zoe', 'Azir', 'Corki']
LLA/2020_Season/Opening_Season;Furious Gaming;Nobody;12;2;10;16.7%;2.17;2.5;3.17;2.13;353.17;9.41;15.1;401;-;-;65.3%;26.5%;25%;7;"['Miss Fortune', 'Aphelios', ""Kai'Sa""]"
