championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
CBLOL/2019_Season/Split_1;Rumble;18;21.4%;11;7;2;3;4;42.9%;2.29;2.14;6.71;4.2;289.43;7.5;13.9;361;-;-;71.6%;18.2%;20.4%;['Top Laner']
CBLOL/2019_Season/Split_1;Camille;18;21.4%;12;6;4;5;1;83.3%;4.33;1.17;4.83;7.86;226.5;6.33;13.8;386;-;-;64.7%;30.6%;20.7%;['Jungler', 'Top Laner']
CBLOL/2019_Season/Split_1;Morgana;17;20.2%;8;9;6;4;5;44.4%;0.56;2.78;8.67;3.32;20.89;0.6;8.1;233;-;-;78.3%;4.7%;13.5%;['Support']
CBLOL/2019_Season/Split_1;Syndra;17;20.2%;10;7;6;2;5;28.6%;2;2.57;3.57;2.17;301.29;8.14;13.3;360;-;-;57.4%;20.6%;21.4%;['Mid Laner']
CBLOL/2019_Season/Split_1;Viktor;16;19%;5;11;8;9;2;81.8%;2.73;1.91;4.73;3.9;304.91;8.89;13.8;402;-;-;59.4%;21.7%;21.6%;['Top Laner', 'Mid Laner', 'Bot Laner']
CBLOL/2019_Season/Split_1;Sylas;16;19%;7;9;5;4;5;44.4%;1.89;2.22;3.78;2.55;250;7.55;11.7;355;-;-;64.6%;21.5%;20.4%;['Top Laner', 'Mid Laner', 'Jungler']
CBLOL/2019_Season/Split_1;Yorick;16;19%;10;6;4;3;3;50%;1.5;2.67;2.83;1.63;251.17;8.43;11.9;400;-;-;51%;17.6%;22.7%;['Top Laner']
CBLOL/2019_Season/Split_1;Xin Zhao;15;17.9%;8;7;2;5;2;71.4%;2.43;2.71;7.14;3.53;211.29;5.41;13;333;-;-;63.2%;16%;18.2%;['Jungler']
CBLOL/2019_Season/Split_1;Xayah;14;16.7%;3;11;5;4;7;36.4%;4.18;2.45;3.27;3.04;343;9.82;15.5;443;-;-;71.9%;40.4%;25.3%;['Bot Laner']
CBLOL/2019_Season/Split_1;Draven;14;16.7%;10;4;3;4;0;100%;5.5;1.5;6.5;8;312.5;9.19;17.1;502;-;-;67.6%;31%;25.5%;['Bot Laner']
CBLOL/2019_Season/Split_1;Trundle;13;15.5%;5;8;5;6;2;75%;2.63;2.38;9.25;5;189;5.13;12.5;341;-;-;75.4%;16.7%;18.7%;['Jungler', 'Top Laner']
CBLOL/2019_Season/Split_1;Jax;13;15.5%;7;6;6;3;3;50%;4.17;1.83;3.67;4.27;337;8.61;17;436;-;-;56%;29.8%;23.9%;['Top Laner', 'Jungler']
CBLOL/2019_Season/Split_1;Ashe;10;11.9%;3;7;3;2;5;28.6%;3;2;5.86;4.43;339.14;9;15.7;417;-;-;71.3%;24.1%;23.2%;['Bot Laner']
CBLOL/2019_Season/Split_1;Taliyah;10;11.9%;5;5;3;3;2;60%;3.2;2.8;6.6;3.5;203.6;6.38;11.6;363;-;-;77.8%;25.4%;20.3%;['Jungler', 'Mid Laner']
CBLOL/2019_Season/Split_1;Varus;10;11.9%;5;5;5;3;2;60%;1.8;1.6;5.2;4.38;302.8;8.88;13.8;403;-;-;74.5%;19.1%;22.6%;['Bot Laner']
CBLOL/2019_Season/Split_1;Vel'Koz;10;11.9%;5;5;2;1;4;20%;3.4;3.8;7.4;2.84;316.6;8.19;15;389;-;-;70.1%;22.1%;21.8%;['Bot Laner']
CBLOL/2019_Season/Split_1;Rakan;10;11.9%;6;4;3;2;2;50%;0.75;2.5;7.75;3.4;17.5;0.52;8.4;251;-;-;72.3%;6.4%;14.2%;['Support']
CBLOL/2019_Season/Split_1;Fiora;10;11.9%;8;2;1;1;1;50%;1.5;5;1;0.5;334;9.38;14.9;418;-;-;25%;15%;22.8%;['Top Laner']
CBLOL/2019_Season/Split_1;Ornn;9;10.7%;1;8;3;8;0;100%;2;1.88;8.63;5.67;240.88;7.02;12.1;353;-;-;64.4%;12.1%;18.6%;['Top Laner']
CBLOL/2019_Season/Split_1;Kha'Zix;9;10.7%;3;6;4;3;3;50%;1.67;2.5;4.83;2.6;178.5;5.31;10.6;317;-;-;63.9%;16.4%;17.8%;['Jungler']
CBLOL/2019_Season/Split_1;Kennen;9;10.7%;3;6;4;1;5;16.7%;1.67;3.5;4.33;1.71;282.67;7.75;13.3;364;-;-;61%;16.9%;21.1%;['Top Laner']
CBLOL/2019_Season/Split_1;Poppy;7;8.3%;2;5;3;4;1;80%;1.6;2.6;7.6;3.54;218.2;5.74;12.9;340;-;-;63%;11%;18.7%;['Top Laner', 'Support', 'Jungler']
CBLOL/2019_Season/Split_1;Vayne;7;8.3%;4;3;3;1;2;33.3%;4;2;1;2.5;246;7.94;12;388;-;-;62.5%;50%;23.6%;['Bot Laner']
CBLOL/2019_Season/Split_1;Leona;6;7.1%;2;4;3;2;2;50%;2;3;8.75;3.58;74.75;2.12;11.4;324;-;-;60.6%;11.3%;17.3%;['Support']
CBLOL/2019_Season/Split_1;Skarner;6;7.1%;2;4;3;2;2;50%;1;3.5;8.25;2.64;167.25;4.25;12;305;-;-;68.5%;7.4%;17%;['Jungler']
CBLOL/2019_Season/Split_1;Neeko;6;7.1%;3;3;2;1;2;33.3%;5.67;3;3.67;3.11;304;8.85;14.9;434;-;-;75.7%;45.9%;24.6%;['Bot Laner']
CBLOL/2019_Season/Split_1;Corki;5;6%;-;5;3;1;4;20%;3.4;2;2.4;2.9;360.8;10.47;14.9;432;-;-;80.6%;47.2%;25.3%;['Mid Laner']
CBLOL/2019_Season/Split_1;Kog'Maw;5;6%;1;4;2;3;1;75%;4.25;2.25;5.75;4.44;284;8.75;13.6;419;-;-;72.7%;30.9%;22.7%;['Bot Laner']
CBLOL/2019_Season/Split_1;Elise;5;6%;1;4;3;0;4;0%;1;3.25;4.25;1.62;152.5;4.92;9.3;300;-;-;70%;13.3%;18.4%;['Jungler']
CBLOL/2019_Season/Split_1;Swain;5;6%;1;4;3;0;4;0%;3.25;3.5;3.5;1.93;251.75;7.53;12.4;372;-;-;73%;35.1%;21.6%;['Mid Laner', 'Top Laner']
CBLOL/2019_Season/Split_1;Karma;5;6%;2;3;3;1;2;33.3%;0.67;2.33;4.67;2.29;94.67;3.08;9.2;299;-;-;66.7%;8.3%;17.2%;['Support', 'Top Laner', 'Mid Laner']
